Sample	# Sequence ID	Num	Score	Expected	Template_length	Query_Coverage	Template_Coverage	Depth	tot_query_Coverage	tot_template_Coverage	tot_depth	q_value	p_value	Accession Number	Description	TAXID	Taxonomy	TAXID Species	Species
R0051_TC00505	GCF_003030085.1	23581	99470	4	121114	   82.85	   82.83	    0.82	   82.85	   82.83	    0.82	99457.52	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00110	GCF_003186105.1	10079	118265	0	121645	   95.46	   98.04	    0.97	   95.46	   98.04	    0.97	118262.49	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_TH0405	GCF_900004855.1	8116	118087	0	120348	   97.04	   98.77	    0.98	   97.04	   98.77	    0.98	118085.19	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00211	GCF_003186105.1	10079	117776	0	121645	   98.30	   97.88	    0.97	   98.30	   97.88	    0.97	117774.83	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00523	GCF_900004855.1	8116	117629	0	120348	   98.03	   98.77	    0.98	   98.03	   98.77	    0.98	117627.48	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST013-B	GCF_001018845.2	13502	118882	0	124602	   97.65	   97.01	    0.95	   97.65	   97.01	    0.95	118880.47	1.0e-26	NZ_CP026067.1	Staphylococcus aureus strain NRS153 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00303	GCF_900004855.1	8116	117557	0	120348	   96.21	   98.77	    0.98	   96.21	   98.77	    0.98	117555.23	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00416	GCF_003186105.1	10079	116723	0	121645	   95.37	   96.84	    0.96	   95.37	   96.84	    0.96	116720.39	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00201	GCF_003030085.1	23581	99039	3	121114	   83.29	   82.46	    0.82	   83.29	   82.46	    0.82	99027.59	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00107	GCF_003030085.1	23581	98943	3	121114	   84.43	   82.38	    0.82	   84.43	   82.38	    0.82	98932.01	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_HK2002	GCF_003184985.1	4619	120857	0	120605	   96.52	   99.71	    1.00	   96.52	   99.71	    1.00	120854.32	1.0e-26	NZ_CP028468.1	Staphylococcus aureus strain IT1-S chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00111	GCF_003186105.1	10079	116888	0	121645	   99.26	   97.06	    0.96	   99.26	   97.06	    0.96	116887.55	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST067	GCF_019915585.1	19047	109487	0	124711	   98.42	   88.66	    0.88	   98.42	   88.66	    0.88	109485.86	1.0e-26	NZ_CP082789.1	Staphylococcus aureus strain HL24830 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_TC00402	GCF_001018845.2	13502	121676	0	124602	   97.09	   98.86	    0.98	   97.09	   98.86	    0.98	121674.09	1.0e-26	NZ_CP026067.1	Staphylococcus aureus strain NRS153 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_HB00604	GCF_002803885.1	20199	117325	0	119895	   99.02	   98.76	    0.98	   99.02	   98.76	    0.98	117324.26	1.0e-26	NZ_CP024998.1	Staphylococcus aureus strain 55-99-44 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00203	GCF_003186105.1	10079	118029	0	121645	   96.66	   97.87	    0.97	   96.66	   97.87	    0.97	118026.99	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST015	GCF_900004855.1	8116	114446	0	120348	   97.94	   96.04	    0.95	   97.94	   96.04	    0.95	114444.51	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00304	GCF_003186105.1	10079	117882	0	121645	   97.10	   97.86	    0.97	   97.10	   97.86	    0.97	117880.27	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00406	GCF_003186105.1	10079	116350	0	121645	   95.42	   96.79	    0.96	   95.42	   96.79	    0.96	116347.46	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_DABST013	GCF_001018845.2	13502	121499	1	124602	   95.22	   98.78	    0.98	   95.22	   98.78	    0.98	121495.48	1.0e-26	NZ_CP026067.1	Staphylococcus aureus strain NRS153 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00115-2	GCF_003030085.1	23581	98445	3	121114	   83.39	   82.05	    0.81	   83.39	   82.05	    0.81	98433.50	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00522	GCF_900004855.1	8116	117404	0	120348	   97.99	   98.76	    0.98	   97.99	   98.76	    0.98	117402.46	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00118	GCF_017161095.1	1660	117525	0	118548	   97.49	   99.71	    0.99	   97.49	   99.71	    0.99	117523.15	1.0e-26	NZ_CP046476.1	Staphylococcus aureus strain MEI001 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_TC00219	GCF_003030085.1	23581	99005	3	121114	   83.50	   82.43	    0.82	   83.50	   82.43	    0.82	98993.25	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00114-1	GCF_003030085.1	23581	98163	3	121114	   83.56	   81.96	    0.81	   83.56	   81.96	    0.81	98151.67	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_DADST035	GCF_019915585.1	19047	118284	0	124711	   98.54	   95.68	    0.95	   98.54	   95.68	    0.95	118282.82	1.0e-26	NZ_CP082789.1	Staphylococcus aureus strain HL24830 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00111	GCF_003030085.1	23581	98425	3	121114	   83.02	   82.04	    0.81	   83.02	   82.04	    0.81	98413.23	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00117	GCF_017161095.1	1660	117634	0	118548	   97.55	   99.75	    0.99	   97.55	   99.75	    0.99	117632.18	1.0e-26	NZ_CP046476.1	Staphylococcus aureus strain MEI001 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00306	GCF_900004855.1	8116	118112	0	120348	   96.65	   98.65	    0.98	   96.65	   98.65	    0.98	118109.62	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00106	GCF_003030085.1	23581	98959	3	121114	   83.39	   82.38	    0.82	   83.39	   82.38	    0.82	98947.24	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_BH0034	GCF_900004855.1	8116	112561	0	120348	   98.38	   94.60	    0.94	   98.38	   94.60	    0.94	112559.84	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00214	GCF_003186105.1	10079	118155	0	121645	   95.49	   97.89	    0.97	   95.49	   97.89	    0.97	118152.51	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_TC0201	GCF_003030085.1	23581	98921	3	121114	   84.06	   82.32	    0.82	   84.06	   82.32	    0.82	98909.76	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_DADST030	GCF_009912855.1	22699	116888	15	120478	   61.64	   97.27	    0.97	   61.64	   97.27	    0.97	116840.60	1.0e-26	NZ_CP047843.1	Staphylococcus aureus strain UP_620 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00215	GCF_003186105.1	10079	117883	0	121645	   95.65	   97.87	    0.97	   95.65	   97.87	    0.97	117880.61	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST053	GCF_020034535.1	160	109224	2	125689	   91.59	   88.68	    0.87	   91.59	   88.68	    0.87	109217.93	1.0e-26	NZ_CP083259.1	Staphylococcus aureus strain HL25274 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST091	GCF_900004855.1	8116	88521	5	120348	   78.65	   74.19	    0.74	   78.65	   74.19	    0.74	88505.02	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
