Sample	# Sequence ID	Num	Score	Expected	Template_length	Query_Coverage	Template_Coverage	Depth	tot_query_Coverage	tot_template_Coverage	tot_depth	q_value	p_value	Accession Number	Description	TAXID	Taxonomy	TAXID Species	Species
Q0003_BC00105	GCF_900324245.1	8971	514149	1766	125003	    6.32	    7.06	    4.11	   70.83	   74.08	   46.10	508873.94	1.0e-26	NZ_LT992461.1	Staphylococcus aureus isolate 8_LA_272 genome assembly, chromosome: I	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00105	GCF_900474755.1	23310	7349991	156	122530	   90.34	   96.98	   59.99	   90.34	   96.98	   59.99	7349521.19	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00216	GCF_003186125.1	14482	150469	3609	122698	    0.87	    1.35	    1.23	   71.55	   91.40	  100.61	139978.02	1.0e-26	NZ_CP029627.1	Staphylococcus aureus strain MOK042 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00216	GCF_015732455.1	4293	486906	3479	120952	    2.82	    1.33	    4.03	   70.81	   85.20	  101.01	476566.41	1.0e-26	NZ_CP061349.1	Staphylococcus aureus strain MSSA01 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00216	GCF_900474755.1	23310	13767341	460	122530	   79.80	   95.26	  112.36	   79.80	   95.26	  112.36	13765961.02	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00512	GCF_013307005.1	3154	2681	37	1979	    0.01	    1.70	    1.35	    0.30	   13.07	   33.40	 2571.24	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00512	GCF_900636695.1	12639	247500	4673	123209	    1.13	    1.32	    2.01	   79.02	   82.01	  141.00	233824.71	1.0e-26	NZ_LR134305.1	Staphylococcus aureus strain NCTC1803 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00512	GCF_016917335.1	21310	486341	4657	122569	    2.21	    2.27	    3.97	   70.56	   72.22	  126.56	472545.42	1.0e-26	NZ_CP070306.1	Staphylococcus sp. SM9054 chromosome, complete genome	2807624	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; unclassified Staphylococcus; Staphylococcus sp. SM9054	2807624	Staphylococcus sp. SM9054
Q0003_TC00512	GCF_018093065.1	17498	1163448	4442	120090	    5.29	    5.95	    9.69	   77.88	   81.49	  142.59	1150189.00	1.0e-26	NZ_CP070991.1	Staphylococcus aureus strain CBS2016-05 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00512	GCF_003030085.1	23581	17470327	728	121114	   79.46	   82.66	  144.25	   79.46	   82.66	  144.25	17468141.10	1.0e-26	NZ_CP028165.1	Staphylococcus aureus strain CFSAN064037 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00201	GCF_013307005.1	3154	25138	28	1979	    0.15	    7.01	   12.70	    0.29	   13.60	   23.62	25052.33	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00201	GCF_003031425.1	7750	160350	3652	123935	    0.98	    1.18	    1.29	   67.91	   69.53	   89.72	149718.21	1.0e-26	NZ_CP020467.1	Staphylococcus aureus strain CFSAN007896 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00201	GCF_003186105.1	10079	15146767	166	121645	   92.50	   97.89	  124.52	   92.50	   97.89	  124.52	15146266.31	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00102	GCF_003186105.1	10079	9128651	20	121645	   97.99	   97.09	   75.04	   97.99	   97.09	   75.04	9128590.35	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST045	GCF_009769015.1	10986	5779	881	101466	    0.12	    1.81	    0.06	    4.68	   53.06	    2.20	 3601.29	1.0e-26	NZ_CP043841.1	Staphylococcus epidermidis strain NCCP 16829 chromosome, complete genome	1282	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus epidermidis	1282	Staphylococcus epidermidis
R0051_DADST045	GCF_009769125.1	20679	16309	907	103815	    0.34	    3.76	    0.16	    4.91	   54.44	    2.25	13778.74	1.0e-26	NZ_CP043847.1	Staphylococcus epidermidis strain NCCP 16828 chromosome, complete genome	1282	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus epidermidis	1282	Staphylococcus epidermidis
R0051_DADST045	GCF_014334295.1	15068	151195	878	103657	    3.17	   55.24	    1.46	    4.91	   58.15	    2.26	148580.62	1.0e-26	NZ_CP060528.1	Staphylococcus epidermidis strain LM087 chromosome, complete genome	1282	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus epidermidis	1282	Staphylococcus epidermidis
R0051_DADST045	GCF_005706435.1	19853	165728	915	109253	    3.48	    1.81	    1.52	    5.22	    3.76	    2.28	163002.35	1.0e-26	NZ_CP035541.1	Staphylococcus haemolyticus strain PK-01 chromosome, complete genome	1283	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus haemolyticus	1283	Staphylococcus haemolyticus
R0051_DADST045	GCF_001018845.2	13502	4150183	112	124602	   87.09	   98.89	   33.31	   87.09	   98.89	   33.31	4149844.85	1.0e-26	NZ_CP026067.1	Staphylococcus aureus strain NRS153 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST001	GCF_013307005.1	3154	10885	3	1979	    0.64	   21.04	    5.50	    0.64	   21.15	    5.57	10875.88	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0052_DADST001	GCF_900004855.1	8116	1582898	25	120348	   92.44	   95.57	   13.15	   92.44	   95.57	   13.15	1582821.19	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BH404	GCF_013307005.1	3154	73	9	1979	    0.00	    1.59	    0.04	    0.17	   14.56	    4.47	   49.09	1.0e-11	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BH404	GCF_003426145.1	19579	93602	1185	123205	    1.78	    1.32	    0.76	   71.02	   70.90	   30.31	90103.95	1.0e-26	NZ_CP031673.1	Staphylococcus aureus strain MOZ66 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BH404	GCF_002202075.1	7400	5095740	26	120924	   96.91	  100.00	   42.14	   96.91	  100.00	   42.14	5095661.29	1.0e-26	NZ_CP021905.1	Staphylococcus aureus strain Seattle 1945 isolate G477 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST084	GCF_906464895.1	1229	26	0	71	    0.00	   20.90	    0.37	    0.00	   20.90	    0.37	   24.86	6.2e-07	NZ_OD940427.1	Enterococcus faecalis isolate WE0851 chromosome contig000006	1351	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis	1351	Enterococcus faecalis
R0051_DADST084	GCF_013307005.1	3154	9212	5	1979	    0.30	   13.39	    4.65	    0.39	   16.37	    6.04	 9195.80	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST084	GCF_900474755.1	23310	2926255	18	122530	   94.83	   97.04	   23.88	   94.83	   97.04	   23.88	2926200.84	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00205	GCF_906464895.1	1229	11161	1	71	    0.13	   40.30	  157.20	    0.13	   40.30	  157.20	11157.90	1.0e-26	NZ_OD940427.1	Enterococcus faecalis isolate WE0851 chromosome contig000006	1351	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis	1351	Enterococcus faecalis
Q0003_MC00205	GCF_013307005.1	3154	13430	14	1979	    0.16	    8.40	    6.79	    0.18	   12.65	    7.61	13386.50	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00205	GCF_003186105.1	10079	7716213	79	121645	   92.89	   97.87	   63.43	   92.89	   97.87	   63.43	7715975.83	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00516	GCF_009912495.1	21153	388100	3503	120476	    2.44	    1.22	    3.22	   57.03	   63.64	   75.25	377716.20	1.0e-26	NZ_CP047785.1	Staphylococcus aureus strain UP_1186 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_TC00516	GCF_900004855.1	8116	13316338	548	120348	   83.76	   98.80	  110.65	   83.76	   98.80	  110.65	13314691.58	1.0e-26	NZ_LN854556.1	Staphylococcus aureus strain BB155 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00101	GCF_013307005.1	3154	35823	8	1979	    0.66	    1.59	   18.10	    2.77	   14.98	   75.86	35798.42	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00101	GCF_003186125.1	14482	44143	1048	122698	    0.81	    1.50	    0.36	   48.64	   91.66	   21.50	41095.08	1.0e-26	NZ_CP029627.1	Staphylococcus aureus strain MOK042 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00101	GCF_015767495.1	23433	157340	1025	122865	    2.90	    1.01	    1.28	   39.46	   68.50	   17.41	154290.72	1.0e-26	NZ_CP065194.1	Staphylococcus aureus strain GDC6P096P chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BC00101	GCF_906464895.1	1229	210637	0	71	    3.88	   56.72	 2966.72	    3.88	   56.72	 2966.72	210635.32	1.0e-26	NZ_OD940427.1	Enterococcus faecalis isolate WE0851 chromosome contig000006	1351	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis	1351	Enterococcus faecalis
R0051_BC00101	GCF_900474755.1	23310	2965525	372	122530	   54.69	   95.73	   24.20	   54.69	   95.73	   24.20	2964408.48	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_MH0081	GCF_013307005.1	3154	4728	4	1979	    0.16	    7.55	    2.39	    1.08	   25.82	   15.78	 4713.30	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_MH0081	GCF_003426145.1	19579	48114	619	123205	    1.66	    1.37	    0.39	   80.42	   96.67	   18.86	46285.56	1.0e-26	NZ_CP031673.1	Staphylococcus aureus strain MOZ66 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0047_MH0081	GCF_005706435.1	19853	121142	533	109253	    4.19	    1.08	    1.11	    6.97	    3.48	    1.84	119551.64	1.0e-26	NZ_CP035541.1	Staphylococcus haemolyticus strain PK-01 chromosome, complete genome	1283	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus haemolyticus	1283	Staphylococcus haemolyticus
R0047_MH0081	GCF_008370815.1	13798	2374945	82	126728	   82.18	   94.90	   18.74	   82.18	   94.90	   18.74	2374696.18	1.0e-26	NZ_CP043302.1	Staphylococcus aureus strain 16445 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST088	GCF_020389025.1	5360	773	15	2274	    0.02	    1.13	    0.34	    1.29	   82.13	   25.59	  726.91	1.0e-26	NZ_CP077918.1	Staphylococcus aureus strain 278 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST088	GCF_013307005.1	3154	19411	7	1979	    0.43	   13.07	    9.81	    0.56	   15.94	   12.71	19387.05	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_DADST088	GCF_900474755.1	23310	4338213	24	122530	   96.47	   97.03	   35.41	   96.47	   97.03	   35.41	4338138.46	1.0e-26	NZ_LS483324.1	Staphylococcus aureus strain NCTC10344 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00210	GCF_003186125.1	14482	134929	3256	122698	    0.81	    1.49	    1.10	   60.89	   91.51	   82.52	125465.15	1.0e-26	NZ_CP029627.1	Staphylococcus aureus strain MOK042 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00210	GCF_906464895.1	1229	162745	1	71	    0.98	   44.78	 2292.18	    0.98	   44.78	 2292.18	162739.58	1.0e-26	NZ_OD940427.1	Enterococcus faecalis isolate WE0851 chromosome contig000006	1351	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis	1351	Enterococcus faecalis
Q0003_MC00210	GCF_015732455.1	4293	454719	3135	120952	    2.73	    1.29	    3.76	   60.63	   85.17	   83.36	445397.79	1.0e-26	NZ_CP061349.1	Staphylococcus aureus strain MSSA01 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_MC00210	GCF_900635285.1	1127	11444915	640	122530	   68.83	   95.34	   93.41	   68.83	   95.34	   93.41	11442993.81	1.0e-26	NZ_LR134087.1	Staphylococcus aureus strain NCTC7121 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00211	GCF_013307005.1	3154	600	14	1979	    0.01	    1.38	    0.30	    0.94	   12.75	   40.40	  558.72	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00211	GCF_906464895.1	1229	29029	1	71	    0.34	   41.79	  408.86	    0.34	   41.79	  408.86	29025.98	1.0e-26	NZ_OD940427.1	Enterococcus faecalis isolate WE0851 chromosome contig000006	1351	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis	1351	Enterococcus faecalis
Q0003_BC00211	GCF_003186125.1	14482	70317	1803	122698	    0.83	    1.11	    0.57	   77.85	   91.14	   54.03	65086.34	1.0e-26	NZ_CP029627.1	Staphylococcus aureus strain MOK042 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00211	GCF_015732455.1	4293	135800	1761	120952	    1.59	    1.28	    1.12	   74.01	   85.19	   52.10	130604.36	1.0e-26	NZ_CP061349.1	Staphylococcus aureus strain MSSA01 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00211	GCF_900635285.1	1127	7138455	168	122530	   83.83	   95.34	   58.26	   83.83	   95.34	   58.26	7137948.42	1.0e-26	NZ_LR134087.1	Staphylococcus aureus strain NCTC7121 genome assembly, chromosome: 1	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BH00403	GCF_013307005.1	3154	36891	17	1979	    0.36	    8.93	   18.64	    0.37	   13.18	   19.38	36837.77	1.0e-26	NZ_CP053354.1	Staphylococcus aureus strain 16405 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
R0051_BH00403	GCF_003186105.1	10079	9291819	133	121645	   90.57	   97.89	   76.38	   90.57	   97.89	   76.38	9291417.17	1.0e-26	NZ_CP029629.1	Staphylococcus aureus strain MOK063 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
Q0003_BC00310	GCF_020389025.1	5360	180	4	2274	    0.01	    1.08	    0.08	    0.74	   49.95	    4.32	  166.62	1.0e-26	NZ_CP077918.1	Staphylococcus aureus strain 278 chromosome, complete genome	1280	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus	1280	Staphylococcus aureus
