"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Q0003_BC00102","Q0003_BC00104","Q0003_BC00105","Q0003_BC00106","Q0003_BC00107","Q0003_BC00108","Q0003_BC00110","Q0003_BC00111","Q0003_BC00117","Q0003_BC00118","Q0003_BC00201","Q0003_BC00211","Q0003_BC00303","Q0003_BC00304","Q0003_BC00310","Q0003_BC00406","Q0003_BC00410-2","Q0003_BC00416","Q0003_BH404","Q0003_HB00604","Q0003_MC00105","Q0003_MC00111","Q0003_MC00114-1","Q0003_MC00115-2","Q0003_MC00201","Q0003_MC00203","Q0003_MC00205","Q0003_MC00210","Q0003_MC00211","Q0003_MC00214","Q0003_MC00215","Q0003_MC00216","Q0003_MC0026","Q0003_TC00102","Q0003_TC00512","Q0003_TC00516","Q0003_TC00522","Q0003_TC00523","R0047_DABST013","R0047_DADST035","R0047_MH0081","R0047_TC0201","R0047_TH0405","R0051_BC00101","R0051_BC00115","R0051_BC00306","R0051_BH00403","R0051_DADST084","R0051_DADST088","R0051_HK2002","R0051_TC00219","R0051_TC00402","R0051_TC00505"
"group_4160","","hypothetical protein","53","53","1","1","2780","","","","230","230","230","Q0003_BC00102_00762","Q0003_BC00104_00057","Q0003_BC00105_00931","Q0003_BC00106_00953","Q0003_BC00107_00951","Q0003_BC00108_01844","Q0003_BC00110_00567","Q0003_BC00111_00159","Q0003_BC00117_00321","Q0003_BC00118_01198","Q0003_BC00201_01438","Q0003_BC00211_00203","Q0003_BC00303_01134","Q0003_BC00304_00045","Q0003_BC00310_00685","Q0003_BC00406_01655","Q0003_BC00410-2_01266","Q0003_BC00416_00136","Q0003_BH404_00481","Q0003_HB00604_01682","Q0003_MC00105_01311","Q0003_MC00111_01037","Q0003_MC00114-1_00990","Q0003_MC00115-2_01037","Q0003_MC00201_00495","Q0003_MC00203_01192","Q0003_MC00205_00492","Q0003_MC00210_00045","Q0003_MC00211_00196","Q0003_MC00214_00726","Q0003_MC00215_00492","Q0003_MC00216_00159","Q0003_MC0026_01206","Q0003_TC00102_01892","Q0003_TC00512_00762","Q0003_TC00516_01697","Q0003_TC00522_01719","Q0003_TC00523_00549","R0047_DABST013_01276","R0047_DADST035_01978","R0047_MH0081_00167","R0047_TC0201_00018","R0047_TH0405_00955","R0051_BC00101_00567","R0051_BC00115_00807","R0051_BC00306_00067","R0051_BH00403_00160","R0051_DADST084_01493","R0051_DADST088_00671","R0051_HK2002_01550","R0051_TC00219_00772","R0051_TC00402_01877","R0051_TC00505_01188"
"rpsH","","30S ribosomal protein S8","53","53","1","1","338","","","","398","398","398","Q0003_BC00102_01968","Q0003_BC00104_01964","Q0003_BC00105_01376","Q0003_BC00106_02023","Q0003_BC00107_02027","Q0003_BC00108_02375","Q0003_BC00110_02463","Q0003_BC00111_02309","Q0003_BC00117_01239","Q0003_BC00118_01681","Q0003_BC00201_01113","Q0003_BC00211_02313","Q0003_BC00303_01456","Q0003_BC00304_01911","Q0003_BC00310_00985","Q0003_BC00406_02021","Q0003_BC00410-2_02024","Q0003_BC00416_02218","Q0003_BH404_00932","Q0003_HB00604_01392","Q0003_MC00105_00488","Q0003_MC00111_00708","Q0003_MC00114-1_00413","Q0003_MC00115-2_00707","Q0003_MC00201_02320","Q0003_MC00203_02190","Q0003_MC00205_02254","Q0003_MC00210_02233","Q0003_MC00211_02375","Q0003_MC00214_02554","Q0003_MC00215_01855","Q0003_MC00216_02389","Q0003_MC0026_02141","Q0003_TC00102_02184","Q0003_TC00512_01969","Q0003_TC00516_01393","Q0003_TC00522_01019","Q0003_TC00523_01355","R0047_DABST013_00856","R0047_DADST035_01207","R0047_MH0081_00881","R0047_TC0201_00344","R0047_TH0405_01617","R0051_BC00101_02326","R0051_BC00115_01408","R0051_BC00306_00566","R0051_BH00403_02319","R0051_DADST084_02382","R0051_DADST088_01639","R0051_HK2002_00654","R0051_TC00219_00446","R0051_TC00402_01444","R0051_TC00505_01514"
"rpmH","","50S ribosomal protein L34","53","53","1","1","4062","","","","137","137","137","Q0003_BC00102_01302","Q0003_BC00104_01145","Q0003_BC00105_00214","Q0003_BC00106_01493","Q0003_BC00107_01490","Q0003_BC00108_00427","Q0003_BC00110_00427","Q0003_BC00111_00298","Q0003_BC00117_00182","Q0003_BC00118_00084","Q0003_BC00201_01711","Q0003_BC00211_00064","Q0003_BC00303_00307","Q0003_BC00304_00185","Q0003_BC00310_01250","Q0003_BC00406_00856","Q0003_BC00410-2_01411","Q0003_BC00416_00277","Q0003_BH404_00341","Q0003_HB00604_00530","Q0003_MC00105_01144","Q0003_MC00111_01185","Q0003_MC00114-1_00546","Q0003_MC00115-2_01185","Q0003_MC00201_00355","Q0003_MC00203_00841","Q0003_MC00205_00352","Q0003_MC00210_00185","Q0003_MC00211_00056","Q0003_MC00214_00586","Q0003_MC00215_00352","Q0003_MC00216_00299","Q0003_MC0026_00352","Q0003_TC00102_00083","Q0003_TC00512_01302","Q0003_TC00516_00532","Q0003_TC00522_00353","Q0003_TC00523_00691","R0047_DABST013_00345","R0047_DADST035_00574","R0047_MH0081_00028","R0047_TC0201_00808","R0047_TH0405_00152","R0051_BC00101_00427","R0051_BC00115_01242","R0051_BC00306_01467","R0051_BH00403_00300","R0051_DADST084_00740","R0051_DADST088_00810","R0051_HK2002_01302","R0051_TC00219_01476","R0051_TC00402_00009","R0051_TC00505_01563"
"lipA_2","","Lipoyl synthase","53","53","1","1","2136","","","","917","917","917","Q0003_BC00102_00314","Q0003_BC00104_00890","Q0003_BC00105_00090","Q0003_BC00106_00386","Q0003_BC00107_00384","Q0003_BC00108_00785","Q0003_BC00110_00689","Q0003_BC00111_01225","Q0003_BC00117_01583","Q0003_BC00118_01489","Q0003_BC00201_00337","Q0003_BC00211_02001","Q0003_BC00303_02281","Q0003_BC00304_01270","Q0003_BC00310_00742","Q0003_BC00406_01871","Q0003_BC00410-2_00861","Q0003_BC00416_01451","Q0003_BH404_01833","Q0003_HB00604_02048","Q0003_MC00105_01932","Q0003_MC00111_00379","Q0003_MC00114-1_01793","Q0003_MC00115-2_00379","Q0003_MC00201_00973","Q0003_MC00203_02052","Q0003_MC00205_01515","Q0003_MC00210_01298","Q0003_MC00211_01072","Q0003_MC00214_01499","Q0003_MC00215_00814","Q0003_MC00216_01520","Q0003_MC0026_00930","Q0003_TC00102_02082","Q0003_TC00512_00314","Q0003_TC00516_02273","Q0003_TC00522_02105","Q0003_TC00523_01953","R0047_DABST013_00536","R0047_DADST035_00382","R0047_MH0081_02042","R0047_TC0201_00529","R0047_TH0405_01672","R0051_BC00101_02368","R0051_BC00115_01679","R0051_BC00306_01747","R0051_BH00403_00973","R0051_DADST084_02133","R0051_DADST088_02182","R0051_HK2002_00712","R0051_TC00219_00050","R0051_TC00402_01292","R0051_TC00505_00306"
"rpsL","","30S ribosomal protein S12","53","53","1","1","1780","","","","413","413","413","Q0003_BC00102_00029","Q0003_BC00104_00339","Q0003_BC00105_02274","Q0003_BC00106_00671","Q0003_BC00107_00669","Q0003_BC00108_02464","Q0003_BC00110_02515","Q0003_BC00111_02461","Q0003_BC00117_02443","Q0003_BC00118_01936","Q0003_BC00201_00029","Q0003_BC00211_01274","Q0003_BC00303_02346","Q0003_BC00304_01560","Q0003_BC00310_00851","Q0003_BC00406_02325","Q0003_BC00410-2_01157","Q0003_BC00416_01509","Q0003_BH404_02092","Q0003_HB00604_02178","Q0003_MC00105_02141","Q0003_MC00111_00666","Q0003_MC00114-1_01682","Q0003_MC00115-2_00665","Q0003_MC00201_00683","Q0003_MC00203_00249","Q0003_MC00205_01225","Q0003_MC00210_01008","Q0003_MC00211_00782","Q0003_MC00214_01209","Q0003_MC00215_01104","Q0003_MC00216_01230","Q0003_MC0026_02181","Q0003_TC00102_02348","Q0003_TC00512_00029","Q0003_TC00516_02326","Q0003_TC00522_02323","Q0003_TC00523_02242","R0047_DABST013_01967","R0047_DADST035_02186","R0047_MH0081_00624","R0047_TC0201_00378","R0047_TH0405_02440","R0051_BC00101_00672","R0051_BC00115_01776","R0051_BC00306_00778","R0051_BH00403_00683","R0051_DADST084_00322","R0051_DADST088_01019","R0051_HK2002_01441","R0051_TC00219_01427","R0051_TC00402_02292","R0051_TC00505_00020"
"zur","","Zinc-specific metallo-regulatory protein","53","53","1","1","1305","","","","410","410","410","Q0003_BC00102_01082","Q0003_BC00104_00782","Q0003_BC00105_00538","Q0003_BC00106_01084","Q0003_BC00107_01082","Q0003_BC00108_01511","Q0003_BC00110_01530","Q0003_BC00111_01831","Q0003_BC00117_01363","Q0003_BC00118_00366","Q0003_BC00201_00919","Q0003_BC00211_01323","Q0003_BC00303_00880","Q0003_BC00304_01609","Q0003_BC00310_01041","Q0003_BC00406_01069","Q0003_BC00410-2_00240","Q0003_BC00416_01045","Q0003_BH404_00246","Q0003_HB00604_00250","Q0003_MC00105_00197","Q0003_MC00111_01514","Q0003_MC00114-1_00048","Q0003_MC00115-2_01514","Q0003_MC00201_01820","Q0003_MC00203_01213","Q0003_MC00205_01698","Q0003_MC00210_01471","Q0003_MC00211_01893","Q0003_MC00214_01682","Q0003_MC00215_01774","Q0003_MC00216_01814","Q0003_MC0026_01385","Q0003_TC00102_01247","Q0003_TC00512_01215","Q0003_TC00516_00197","Q0003_TC00522_00250","Q0003_TC00523_00250","R0047_DABST013_01743","R0047_DADST035_00194","R0047_MH0081_01524","R0047_TC0201_01244","R0047_TH0405_01454","R0051_BC00101_01480","R0051_BC00115_00633","R0051_BC00306_02017","R0051_BH00403_01666","R0051_DADST084_00163","R0051_DADST088_00483","R0051_HK2002_00460","R0051_TC00219_00995","R0051_TC00402_01034","R0051_TC00505_00992"
"group_4166","","hypothetical protein","53","53","1","1","1554","","","","287","287","287","Q0003_BC00102_02463","Q0003_BC00104_02424","Q0003_BC00105_00745","Q0003_BC00106_02424","Q0003_BC00107_02462","Q0003_BC00108_01134","Q0003_BC00110_01017","Q0003_BC00111_00994","Q0003_BC00117_00754","Q0003_BC00118_02040","Q0003_BC00201_02477","Q0003_BC00211_00405","Q0003_BC00303_02565","Q0003_BC00304_00919","Q0003_BC00310_02333","Q0003_BC00406_00210","Q0003_BC00410-2_00442","Q0003_BC00416_00980","Q0003_BH404_01990","Q0003_HB00604_02418","Q0003_MC00105_02372","Q0003_MC00111_01739","Q0003_MC00114-1_02093","Q0003_MC00115-2_01738","Q0003_MC00201_01390","Q0003_MC00203_00937","Q0003_MC00205_01008","Q0003_MC00210_00792","Q0003_MC00211_00398","Q0003_MC00214_00358","Q0003_MC00215_01176","Q0003_MC00216_01013","Q0003_MC0026_00790","Q0003_TC00102_00839","Q0003_TC00512_02430","Q0003_TC00516_02505","Q0003_TC00522_02491","Q0003_TC00523_02485","R0047_DABST013_02214","R0047_DADST035_00772","R0047_MH0081_01900","R0047_TC0201_02394","R0047_TH0405_01368","R0051_BC00101_00991","R0051_BC00115_00886","R0051_BC00306_02523","R0051_BH00403_01493","R0051_DADST084_01054","R0051_DADST088_00276","R0051_HK2002_01084","R0051_TC00219_02525","R0051_TC00402_00440","R0051_TC00505_00724"
"sigA","","RNA polymerase sigma factor SigA","53","53","1","1","1298","","","","1106","1106","1106","Q0003_BC00102_01075","Q0003_BC00104_00789","Q0003_BC00105_00531","Q0003_BC00106_01077","Q0003_BC00107_01075","Q0003_BC00108_01518","Q0003_BC00110_01523","Q0003_BC00111_01824","Q0003_BC00117_01370","Q0003_BC00118_00359","Q0003_BC00201_00926","Q0003_BC00211_01330","Q0003_BC00303_00887","Q0003_BC00304_01616","Q0003_BC00310_01048","Q0003_BC00406_01076","Q0003_BC00410-2_00233","Q0003_BC00416_01052","Q0003_BH404_00239","Q0003_HB00604_00257","Q0003_MC00105_00190","Q0003_MC00111_01507","Q0003_MC00114-1_00041","Q0003_MC00115-2_01507","Q0003_MC00201_01813","Q0003_MC00203_01220","Q0003_MC00205_01705","Q0003_MC00210_01464","Q0003_MC00211_01886","Q0003_MC00214_01689","Q0003_MC00215_01767","Q0003_MC00216_01807","Q0003_MC0026_01392","Q0003_TC00102_01240","Q0003_TC00512_01222","Q0003_TC00516_00190","Q0003_TC00522_00257","Q0003_TC00523_00257","R0047_DABST013_02215","R0047_DADST035_00187","R0047_MH0081_01531","R0047_TC0201_01251","R0047_TH0405_01447","R0051_BC00101_01473","R0051_BC00115_00640","R0051_BC00306_02010","R0051_BH00403_01659","R0051_DADST084_00170","R0051_DADST088_00490","R0051_HK2002_00453","R0051_TC00219_01002","R0051_TC00402_01041","R0051_TC00505_00999"
"rpmA","","50S ribosomal protein L27","53","53","1","1","1207","","","","284","284","284","Q0003_BC00102_01601","Q0003_BC00104_01821","Q0003_BC00105_00450","Q0003_BC00106_01537","Q0003_BC00107_01534","Q0003_BC00108_01600","Q0003_BC00110_01441","Q0003_BC00111_01743","Q0003_BC00117_01451","Q0003_BC00118_00278","Q0003_BC00201_01009","Q0003_BC00211_01411","Q0003_BC00303_00970","Q0003_BC00304_01697","Q0003_BC00310_00390","Q0003_BC00406_01157","Q0003_BC00410-2_00150","Q0003_BC00416_01133","Q0003_BH404_00157","Q0003_HB00604_00340","Q0003_MC00105_00107","Q0003_MC00111_02009","Q0003_MC00114-1_01361","Q0003_MC00115-2_01934","Q0003_MC00201_01732","Q0003_MC00203_01301","Q0003_MC00205_01786","Q0003_MC00210_01383","Q0003_MC00211_01805","Q0003_MC00214_01770","Q0003_MC00215_01686","Q0003_MC00216_01726","Q0003_MC0026_01473","Q0003_TC00102_01159","Q0003_TC00512_01535","Q0003_TC00516_00107","Q0003_TC00522_01510","Q0003_TC00523_00340","R0047_DABST013_02072","R0047_DADST035_00106","R0047_MH0081_01430","R0047_TC0201_01085","R0047_TH0405_01519","R0051_BC00101_01391","R0051_BC00115_00722","R0051_BC00306_01324","R0051_BH00403_01578","R0051_DADST084_00251","R0051_DADST088_00571","R0051_HK2002_00981","R0051_TC00219_01085","R0051_TC00402_01124","R0051_TC00505_01080"
"atpE","","ATP synthase subunit c","53","53","1","1","3974","","","","212","212","212","Q0003_BC00102_01895","Q0003_BC00104_01904","Q0003_BC00105_02097","Q0003_BC00106_01795","Q0003_BC00107_01908","Q0003_BC00108_02177","Q0003_BC00110_01876","Q0003_BC00111_02018","Q0003_BC00117_02070","Q0003_BC00118_01106","Q0003_BC00201_02076","Q0003_BC00211_02242","Q0003_BC00303_01790","Q0003_BC00304_02280","Q0003_BC00310_01179","Q0003_BC00406_01747","Q0003_BC00410-2_02305","Q0003_BC00416_02019","Q0003_BH404_01935","Q0003_HB00604_01836","Q0003_MC00105_01844","Q0003_MC00111_02358","Q0003_MC00114-1_01510","Q0003_MC00115-2_02357","Q0003_MC00201_02033","Q0003_MC00203_01771","Q0003_MC00205_02201","Q0003_MC00210_01888","Q0003_MC00211_02190","Q0003_MC00214_02110","Q0003_MC00215_02078","Q0003_MC00216_02275","Q0003_MC0026_01673","Q0003_TC00102_01777","Q0003_TC00512_01896","Q0003_TC00516_01851","Q0003_TC00522_02266","Q0003_TC00523_02114","R0047_DABST013_01136","R0047_DADST035_02353","R0047_MH0081_01574","R0047_TC0201_01588","R0047_TH0405_01264","R0051_BC00101_01802","R0051_BC00115_01493","R0051_BC00306_01391","R0051_BH00403_01989","R0051_DADST084_01697","R0051_DADST088_02394","R0051_HK2002_00829","R0051_TC00219_01959","R0051_TC00402_01646","R0051_TC00505_01952"
"rplX","","50S ribosomal protein L24","53","53","1","1","341","","","","317","317","317","Q0003_BC00102_01971","Q0003_BC00104_01967","Q0003_BC00105_01373","Q0003_BC00106_02020","Q0003_BC00107_02024","Q0003_BC00108_02372","Q0003_BC00110_02466","Q0003_BC00111_02312","Q0003_BC00117_01236","Q0003_BC00118_01678","Q0003_BC00201_01116","Q0003_BC00211_02310","Q0003_BC00303_01453","Q0003_BC00304_01914","Q0003_BC00310_00982","Q0003_BC00406_02018","Q0003_BC00410-2_02021","Q0003_BC00416_02221","Q0003_BH404_00935","Q0003_HB00604_01389","Q0003_MC00105_00485","Q0003_MC00111_00711","Q0003_MC00114-1_00410","Q0003_MC00115-2_00710","Q0003_MC00201_02323","Q0003_MC00203_02187","Q0003_MC00205_02251","Q0003_MC00210_02230","Q0003_MC00211_02378","Q0003_MC00214_02557","Q0003_MC00215_01858","Q0003_MC00216_02392","Q0003_MC0026_02144","Q0003_TC00102_02187","Q0003_TC00512_01972","Q0003_TC00516_01390","Q0003_TC00522_01022","Q0003_TC00523_01358","R0047_DABST013_00859","R0047_DADST035_01210","R0047_MH0081_00878","R0047_TC0201_00341","R0047_TH0405_01614","R0051_BC00101_02329","R0051_BC00115_01411","R0051_BC00306_00563","R0051_BH00403_02322","R0051_DADST084_02385","R0051_DADST088_01636","R0051_HK2002_00657","R0051_TC00219_00449","R0051_TC00402_01441","R0051_TC00505_01511"
"yabA","","Initiation-control protein YabA","53","53","1","2","34","","","","347","347","347","Q0003_BC00102_02385","Q0003_BC00104_02414","Q0003_BC00105_02508","Q0003_BC00106_02380","Q0003_BC00107_02384","Q0003_BC00108_02532","Q0003_BC00110_02617","Q0003_BC00111_02496","Q0003_BC00117_02604","Q0003_BC00118_02294","Q0003_BC00201_02467","Q0003_BC00211_02542","Q0003_BC00303_02557","Q0003_BC00304_02588","Q0003_BC00310_01500","Q0003_BC00406_02423","Q0003_BC00410-2_02513","Q0003_BC00416_02531","Q0003_BH404_02415","Q0003_HB00604_02410","Q0003_MC00105_02345","Q0003_MC00111_02526","Q0003_MC00114-1_02228","Q0003_MC00115-2_02525","Q0003_MC00201_02565","Q0003_MC00203_02525","Q0003_MC00205_02548","Q0003_MC00210_02512","Q0003_MC00211_02573","Q0003_MC00214_02524","Q0003_MC00215_02562","Q0003_MC00216_02552","Q0003_MC0026_02511","Q0003_TC00102_02417","Q0003_TC00512_02386","Q0003_TC00516_02443","Q0003_TC00522_02429","Q0003_TC00523_02360","R0047_DABST013_02132","R0047_DADST035_02467","R0047_MH0081_02022","R0047_TC0201_01853","R0047_TH0405_01730","R0051_BC00101_02504","R0051_BC00115_02142","R0051_BC00306_02057","R0051_BH00403_02531","R0051_DADST084_02533","R0051_DADST088_02533","R0051_HK2002_01773","R0051_TC00219_02447","R0051_TC00402_02464","R0051_TC00505_02565"
"tatAy","","Sec-independent protein translocase protein TatAy","53","53","1","1","4642","","","","215","215","215","Q0003_BC00102_01659","Q0003_BC00104_01440","Q0003_BC00105_01720","Q0003_BC00106_01715","Q0003_BC00107_01659","Q0003_BC00108_00054","Q0003_BC00110_00054","Q0003_BC00111_00607","Q0003_BC00117_01723","Q0003_BC00118_00850","Q0003_BC00201_01942","Q0003_BC00211_00971","Q0003_BC00303_00579","Q0003_BC00304_00484","Q0003_BC00310_00568","Q0003_BC00406_00328","Q0003_BC00410-2_01699","Q0003_BC00416_00576","Q0003_BH404_01335","Q0003_HB00604_00802","Q0003_MC00105_02019","Q0003_MC00111_01839","Q0003_MC00114-1_01265","Q0003_MC00115-2_01838","Q0003_MC00201_00057","Q0003_MC00203_01866","Q0003_MC00205_00054","Q0003_MC00210_00484","Q0003_MC00211_01358","Q0003_MC00214_00938","Q0003_MC00215_00054","Q0003_MC00216_00596","Q0003_MC0026_00054","Q0003_TC00102_00392","Q0003_TC00512_01713","Q0003_TC00516_00804","Q0003_TC00522_00798","Q0003_TC00523_01284","R0047_DABST013_00061","R0047_DADST035_01814","R0047_MH0081_01212","R0047_TC0201_00992","R0047_TH0405_01072","R0051_BC00101_00054","R0051_BC00115_00249","R0051_BC00306_01576","R0051_BH00403_00598","R0051_DADST084_00893","R0051_DADST088_01352","R0051_HK2002_01144","R0051_TC00219_01773","R0051_TC00402_00294","R0051_TC00505_01813"
"acpP","","Acyl carrier protein","53","53","1","1","2486","","","","233","233","233","Q0003_BC00102_00618","Q0003_BC00104_01661","Q0003_BC00105_01530","Q0003_BC00106_00080","Q0003_BC00107_00080","Q0003_BC00108_01269","Q0003_BC00110_01960","Q0003_BC00111_00859","Q0003_BC00117_00618","Q0003_BC00118_00753","Q0003_BC00201_00641","Q0003_BC00211_00623","Q0003_BC00303_01903","Q0003_BC00304_00701","Q0003_BC00310_01224","Q0003_BC00406_00077","Q0003_BC00410-2_00557","Q0003_BC00416_00847","Q0003_BH404_01228","Q0003_HB00604_00913","Q0003_MC00105_01563","Q0003_MC00111_00078","Q0003_MC00114-1_01960","Q0003_MC00115-2_00078","Q0003_MC00201_01172","Q0003_MC00203_00415","Q0003_MC00205_00790","Q0003_MC00210_00574","Q0003_MC00211_00616","Q0003_MC00214_00140","Q0003_MC00215_01394","Q0003_MC00216_00795","Q0003_MC0026_00572","Q0003_TC00102_00974","Q0003_TC00512_00618","Q0003_TC00516_01112","Q0003_TC00522_00487","Q0003_TC00523_00825","R0047_DABST013_01661","R0047_DADST035_00655","R0047_MH0081_00307","R0047_TC0201_02023","R0047_TH0405_00035","R0051_BC00101_01126","R0051_BC00115_02201","R0051_BC00306_01110","R0051_BH00403_01275","R0051_DADST084_01191","R0051_DADST088_00139","R0051_HK2002_00553","R0051_TC00219_00353","R0051_TC00402_01991","R0051_TC00505_00606"
"dosC","","Diguanylate cyclase DosC","53","53","1","1","2020","","","","1070","1070","1070","Q0003_BC00102_00229","Q0003_BC00104_00539","Q0003_BC00105_01018","Q0003_BC00106_00471","Q0003_BC00107_00469","Q0003_BC00108_00701","Q0003_BC00110_00773","Q0003_BC00111_01309","Q0003_BC00117_00881","Q0003_BC00118_00463","Q0003_BC00201_00231","Q0003_BC00211_01068","Q0003_BC00303_00044","Q0003_BC00304_01354","Q0003_BC00310_01731","Q0003_BC00406_00610","Q0003_BC00410-2_00947","Q0003_BC00416_01579","Q0003_BH404_01617","Q0003_HB00604_01446","Q0003_MC00105_00542","Q0003_MC00111_00464","Q0003_MC00114-1_00788","Q0003_MC00115-2_00464","Q0003_MC00201_00889","Q0003_MC00203_00043","Q0003_MC00205_01431","Q0003_MC00210_01214","Q0003_MC00211_00988","Q0003_MC00214_01415","Q0003_MC00215_00898","Q0003_MC00216_01436","Q0003_MC0026_01014","Q0003_TC00102_01457","Q0003_TC00512_00229","Q0003_TC00516_01447","Q0003_TC00522_01271","Q0003_TC00523_01755","R0047_DABST013_00759","R0047_DADST035_01404","R0047_MH0081_01700","R0047_TC0201_01144","R0047_TH0405_00388","R0051_BC00101_00882","R0051_BC00115_00312","R0051_BC00306_00635","R0051_BH00403_00889","R0051_DADST084_00528","R0051_DADST088_01225","R0051_HK2002_00181","R0051_TC00219_01227","R0051_TC00402_00829","R0051_TC00505_00221"
"ssbA_1","","Single-stranded DNA-binding protein A","53","53","1","1","4619","","","","503","503","503","Q0003_BC00102_01640","Q0003_BC00104_01459","Q0003_BC00105_01739","Q0003_BC00106_01734","Q0003_BC00107_01640","Q0003_BC00108_00035","Q0003_BC00110_00035","Q0003_BC00111_00626","Q0003_BC00117_01742","Q0003_BC00118_00831","Q0003_BC00201_01923","Q0003_BC00211_00990","Q0003_BC00303_00597","Q0003_BC00304_00503","Q0003_BC00310_00587","Q0003_BC00406_00347","Q0003_BC00410-2_01719","Q0003_BC00416_00595","Q0003_BH404_01316","Q0003_HB00604_00820","Q0003_MC00105_02037","Q0003_MC00111_01820","Q0003_MC00114-1_01246","Q0003_MC00115-2_01819","Q0003_MC00201_00038","Q0003_MC00203_01885","Q0003_MC00205_00035","Q0003_MC00210_00503","Q0003_MC00211_01377","Q0003_MC00214_00919","Q0003_MC00215_00035","Q0003_MC00216_00615","Q0003_MC0026_00035","Q0003_TC00102_00411","Q0003_TC00512_01732","Q0003_TC00516_00822","Q0003_TC00522_00780","Q0003_TC00523_01302","R0047_DABST013_00042","R0047_DADST035_01795","R0047_MH0081_01231","R0047_TC0201_01011","R0047_TH0405_01054","R0051_BC00101_00035","R0051_BC00115_00268","R0051_BC00306_01594","R0051_BH00403_00617","R0051_DADST084_00874","R0051_DADST088_01333","R0051_HK2002_01163","R0051_TC00219_01792","R0051_TC00402_00313","R0051_TC00505_01794"
"hup","","DNA-binding protein HU","53","53","1","1","1418","","","","272","272","272","Q0003_BC00102_01159","Q0003_BC00104_00705","Q0003_BC00105_00620","Q0003_BC00106_01161","Q0003_BC00107_01159","Q0003_BC00108_01010","Q0003_BC00110_01141","Q0003_BC00111_01120","Q0003_BC00117_02501","Q0003_BC00118_02603","Q0003_BC00201_00842","Q0003_BC00211_02096","Q0003_BC00303_00733","Q0003_BC00304_01045","Q0003_BC00310_02414","Q0003_BC00406_00713","Q0003_BC00410-2_00315","Q0003_BC00416_01960","Q0003_BH404_01779","Q0003_HB00604_00103","Q0003_MC00105_01482","Q0003_MC00111_01592","Q0003_MC00114-1_00126","Q0003_MC00115-2_01592","Q0003_MC00201_01516","Q0003_MC00203_01949","Q0003_MC00205_01134","Q0003_MC00210_00918","Q0003_MC00211_01647","Q0003_MC00214_00484","Q0003_MC00215_02188","Q0003_MC00216_01139","Q0003_MC0026_01947","Q0003_TC00102_00713","Q0003_TC00512_01138","Q0003_TC00516_00344","Q0003_TC00522_00103","Q0003_TC00523_00103","R0047_DABST013_02544","R0047_DADST035_00269","R0047_MH0081_01351","R0047_TC0201_01486","R0047_TH0405_02080","R0051_BC00101_02442","R0051_BC00115_01865","R0051_BC00306_00317","R0051_BH00403_02105","R0051_DADST084_00081","R0051_DADST088_00401","R0051_HK2002_01836","R0051_TC00219_00918","R0051_TC00402_02369","R0051_TC00505_00850"
"group_4177","","hypothetical protein","53","53","1","1","1236","","","","260","260","260","Q0003_BC00102_01019","Q0003_BC00104_00845","Q0003_BC00105_00477","Q0003_BC00106_01021","Q0003_BC00107_01019","Q0003_BC00108_01572","Q0003_BC00110_01469","Q0003_BC00111_01770","Q0003_BC00117_01424","Q0003_BC00118_00305","Q0003_BC00201_00982","Q0003_BC00211_01384","Q0003_BC00303_00943","Q0003_BC00304_01670","Q0003_BC00310_00363","Q0003_BC00406_01130","Q0003_BC00410-2_00177","Q0003_BC00416_01106","Q0003_BH404_00184","Q0003_HB00604_00313","Q0003_MC00105_00134","Q0003_MC00111_01453","Q0003_MC00114-1_02384","Q0003_MC00115-2_01453","Q0003_MC00201_01759","Q0003_MC00203_01274","Q0003_MC00205_01759","Q0003_MC00210_01410","Q0003_MC00211_01832","Q0003_MC00214_01743","Q0003_MC00215_01713","Q0003_MC00216_01753","Q0003_MC0026_01446","Q0003_TC00102_01186","Q0003_TC00512_01278","Q0003_TC00516_00134","Q0003_TC00522_01483","Q0003_TC00523_00313","R0047_DABST013_02578","R0047_DADST035_00133","R0047_MH0081_01457","R0047_TC0201_01058","R0047_TH0405_02429","R0051_BC00101_01419","R0051_BC00115_00694","R0051_BC00306_01954","R0051_BH00403_01605","R0051_DADST084_00224","R0051_DADST088_00544","R0051_HK2002_00399","R0051_TC00219_01058","R0051_TC00402_01096","R0051_TC00505_01053"
