Sample	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
Q0003_MC00201	blaZ	99.88	846/846	100.0	1..846	NODE_8_length_77323_cov_15.818903	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_MC00201	blaZ	99.88	846/846	100.0	1..846	NODE_8_length_77323_cov_15.818903	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_MC00201	blaZ	99.88	846/846	100.0	1..846	NODE_8_length_77323_cov_15.818903	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_MC00201	blaZ	99.88	846/846	100.0	1..846	NODE_8_length_77323_cov_15.818903	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_MC00201	blaZ	99.88	846/846	100.0	1..846	NODE_8_length_77323_cov_15.818903	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_MC00201	blaZ	99.88	846/846	100.0	1..846	NODE_8_length_77323_cov_15.818903	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_MC00201	blaZ	99.88	846/846	100.0	1..846	NODE_8_length_77323_cov_15.818903	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_MC00201	blaZ	99.88	846/846	100.0	1..846	NODE_8_length_77323_cov_15.818903	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_MC00201	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_20_length_4590_cov_65.132422	1584..2963	Doxycycline, Tetracycline	U38656
Q0003_MC00203	blaZ	99.88	846/846	100.0	1..846	NODE_15_length_77393_cov_6.601442	69880..70725	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_MC00203	blaZ	99.88	846/846	100.0	1..846	NODE_15_length_77393_cov_6.601442	69880..70725	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_MC00203	blaZ	99.88	846/846	100.0	1..846	NODE_15_length_77393_cov_6.601442	69880..70725	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_MC00203	blaZ	99.88	846/846	100.0	1..846	NODE_15_length_77393_cov_6.601442	69880..70725	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_MC00203	blaZ	99.88	846/846	100.0	1..846	NODE_15_length_77393_cov_6.601442	69880..70725	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_MC00203	blaZ	99.88	846/846	100.0	1..846	NODE_15_length_77393_cov_6.601442	69880..70725	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_MC00203	blaZ	99.88	846/846	100.0	1..846	NODE_15_length_77393_cov_6.601442	69880..70725	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_MC00203	blaZ	99.88	846/846	100.0	1..846	NODE_15_length_77393_cov_6.601442	69880..70725	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_MC00205	str	100.00	849/849	100.0	1..849	NODE_19_length_4524_cov_85.657721	2437..3285	Streptomycin	FN435330
Q0003_MC00205	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_77369_cov_8.731726	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_MC00205	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_77369_cov_8.731726	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_MC00205	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_77369_cov_8.731726	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_MC00205	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_77369_cov_8.731726	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_MC00205	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_77369_cov_8.731726	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_MC00205	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_77369_cov_8.731726	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_MC00205	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_77369_cov_8.731726	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_MC00205	blaZ	99.88	846/846	100.0	1..846	NODE_7_length_77369_cov_8.731726	6581..7426	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_MC00210	str	100.00	849/849	100.0	1..849	NODE_23_length_4524_cov_1372.912895	2826..3674	Streptomycin	FN435330
Q0003_MC00210	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77457_cov_10.304164	6669..7514	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_MC00210	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77457_cov_10.304164	6669..7514	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_MC00210	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77457_cov_10.304164	6669..7514	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_MC00210	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77457_cov_10.304164	6669..7514	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_MC00210	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77457_cov_10.304164	6669..7514	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_MC00210	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77457_cov_10.304164	6669..7514	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_MC00210	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77457_cov_10.304164	6669..7514	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_MC00210	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77457_cov_10.304164	6669..7514	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_MC00211	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77402_cov_12.302038	6660..7505	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_MC00211	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77402_cov_12.302038	6660..7505	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_MC00211	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77402_cov_12.302038	6660..7505	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_MC00211	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77402_cov_12.302038	6660..7505	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_MC00211	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77402_cov_12.302038	6660..7505	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_MC00211	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77402_cov_12.302038	6660..7505	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_MC00211	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77402_cov_12.302038	6660..7505	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_MC00211	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77402_cov_12.302038	6660..7505	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_MC00214	str	100.00	849/849	100.0	1..849	NODE_23_length_4524_cov_31.321128	1422..2270	Streptomycin	FN435330
Q0003_MC00214	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108069_cov_21.620231	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_MC00214	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108069_cov_21.620231	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_MC00214	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108069_cov_21.620231	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_MC00214	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108069_cov_21.620231	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_MC00214	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108069_cov_21.620231	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_MC00214	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108069_cov_21.620231	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_MC00214	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108069_cov_21.620231	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_MC00214	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_108069_cov_21.620231	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_MC00215	str	100.00	849/849	100.0	1..849	NODE_19_length_4524_cov_2975.045486	1824..2672	Streptomycin	FN435330
Q0003_MC00215	blaZ	99.88	846/846	100.0	1..846	NODE_9_length_77322_cov_31.881508	69897..70742	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_MC00215	blaZ	99.88	846/846	100.0	1..846	NODE_9_length_77322_cov_31.881508	69897..70742	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_MC00215	blaZ	99.88	846/846	100.0	1..846	NODE_9_length_77322_cov_31.881508	69897..70742	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_MC00215	blaZ	99.88	846/846	100.0	1..846	NODE_9_length_77322_cov_31.881508	69897..70742	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_MC00215	blaZ	99.88	846/846	100.0	1..846	NODE_9_length_77322_cov_31.881508	69897..70742	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_MC00215	blaZ	99.88	846/846	100.0	1..846	NODE_9_length_77322_cov_31.881508	69897..70742	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_MC00215	blaZ	99.88	846/846	100.0	1..846	NODE_9_length_77322_cov_31.881508	69897..70742	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_MC00215	blaZ	99.88	846/846	100.0	1..846	NODE_9_length_77322_cov_31.881508	69897..70742	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_MC00216	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_137783_cov_13.516483	66994..67839	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_MC00216	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_137783_cov_13.516483	66994..67839	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_MC00216	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_137783_cov_13.516483	66994..67839	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_MC00216	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_137783_cov_13.516483	66994..67839	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_MC00216	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_137783_cov_13.516483	66994..67839	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_MC00216	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_137783_cov_13.516483	66994..67839	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_MC00216	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_137783_cov_13.516483	66994..67839	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_MC00216	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_137783_cov_13.516483	66994..67839	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_MC0026	str	100.00	849/849	100.0	1..849	NODE_26_length_4524_cov_160.656811	1540..2388	Streptomycin	FN435330
Q0003_MC0026	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77411_cov_10.250712	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
Q0003_MC0026	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77411_cov_10.250712	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
Q0003_MC0026	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77411_cov_10.250712	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
Q0003_MC0026	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77411_cov_10.250712	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
Q0003_MC0026	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77411_cov_10.250712	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
Q0003_MC0026	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77411_cov_10.250712	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
Q0003_MC0026	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77411_cov_10.250712	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
Q0003_MC0026	blaZ	99.88	846/846	100.0	1..846	NODE_11_length_77411_cov_10.250712	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
Q0003_TC00102	blaZ	99.89	888/888	100.0	1..888	NODE_17_length_31914_cov_9.383270	26533..27420	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP003979
Q0003_TC00512	blaZ	100.00	846/846	100.0	1..846	NODE_7_length_109823_cov_20.171766	37079..37924	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
Q0003_TC00516	blaZ	99.88	846/846	100.0	1..846	NODE_18_length_20857_cov_93.424843	15546..16391	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP010941
Q0003_TC00516	erm(C)	100.00	735/735	100.0	1..735	NODE_25_length_2600_cov_2813.209462	396..1130	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
Q0003_TC00516	dfrG	100.00	498/498	100.0	1..498	NODE_1_length_489359_cov_15.977313	313217..313714	Trimethoprim	AB205645
